version,epoch,prompt_loss,learning_rate,loss_id,loss_triplet,loss_center,loss_i2t,loss_t2i,rank1,rank5,rank10,map,is_best
stage2-v10,9,,6.6e-05,3.9931,0.0352,867.4565,1.2337,1.238,86.41,95.37,97.32,90.48,yes
stage2-v10,10,,2.6e-05,3.9709,0.0213,860.5555,1.0726,1.1142,88.05,96.19,98.15,91.61,yes
stage2-v10,11,,8.4e-05,3.9325,0.0156,866.0214,0.9664,0.9904,85.89,96.4,98.15,90.48,no
stage2-v10,12,,1e-05,3.9024,0.0,855.6891,1.3686,1.3618,88.57,96.91,98.25,92.16,yes
stage2-v10,13,,9.6e-05,3.9122,0.0009,856.8773,0.7985,0.8666,87.54,96.19,98.25,91.57,no
stage2-v10,14,,2e-06,3.892,0.0086,843.5773,0.9309,0.9904,86.3,95.88,97.73,90.52,no
stage2-v10,15,,0.0001,3.841,0.0,839.3,1.2582,1.238,90.53,97.73,99.07,93.68,yes
stage2-v10,16,,2e-06,3.8507,0.0,839.1747,0.444,0.4952,89.39,97.53,98.25,92.99,no
stage2-v10,17,,9.6e-05,3.8651,0.0137,848.0471,1.1567,1.1142,88.57,96.91,98.25,92.12,no
stage2-v10,18,,1e-05,3.8187,0.0017,827.1161,1.4023,1.3618,90.73,97.32,98.46,93.6,yes
stage2-v10,19,,8.4e-05,3.8594,0.0036,837.3865,1.4582,1.4856,89.19,96.91,98.35,92.6,no
stage2-v10,20,,2.6e-05,3.8356,0.0,821.5388,1.0087,1.1142,88.67,96.19,97.43,92.02,no
stage2-v10,21,,6.6e-05,3.8131,0.0,818.142,1.5056,1.4856,90.42,96.81,98.46,93.3,no
stage2-v10,22,,4.5e-05,3.7938,0.0,810.0146,1.3832,1.4856,89.91,96.81,98.25,92.95,no
stage2-v10,23,,4.5e-05,3.7604,0.0,810.2473,0.7228,0.8666,90.73,96.5,98.76,93.42,no
