Experiment: stage2a_prompt_vitb16_11k_dorsal_r
Save Path: saved_models/stage2a_prompt_vitb16_11k_dorsal_r_vitb16_11k_dorsal_r_e30_lr1e-04_bs32_ctx8_freezeFalse.pth
Freeze Text Encoder: False
LR: 0.0001 | Epochs: 30 | BS: 32 | N_CTX: 8

[Epoch 12] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2548 | PromptVar: 0.0151 | PromptGrad: 0.0005 | Time: 127.86s
[Epoch 13] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2480 | PromptVar: 0.0149 | PromptGrad: 0.0005 | Time: 132.85s
[Epoch 14] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2416 | PromptVar: 0.0148 | PromptGrad: 0.0005 | Time: 127.03s
[Epoch 15] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2356 | PromptVar: 0.0147 | PromptGrad: 0.0005 | Time: 135.74s
[Epoch 16] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2298 | PromptVar: 0.0145 | PromptGrad: 0.0005 | Time: 126.91s
[Epoch 17] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2243 | PromptVar: 0.0144 | PromptGrad: 0.0005 | Time: 138.27s
[Epoch 18] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2191 | PromptVar: 0.0143 | PromptGrad: 0.0004 | Time: 137.38s
[Epoch 19] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2141 | PromptVar: 0.0142 | PromptGrad: 0.0004 | Time: 134.88s
[Epoch 20] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2094 | PromptVar: 0.0141 | PromptGrad: 0.0004 | Time: 157.61s
[Epoch 21] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2049 | PromptVar: 0.0140 | PromptGrad: 0.0004 | Time: 150.78s
[Epoch 22] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2005 | PromptVar: 0.0139 | PromptGrad: 0.0004 | Time: 132.50s
[Epoch 23] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.1964 | PromptVar: 0.0138 | PromptGrad: 0.0004 | Time: 126.01s
[Epoch 24] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.1925 | PromptVar: 0.0137 | PromptGrad: 0.0004 | Time: 126.20s
[Epoch 25] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.1887 | PromptVar: 0.0137 | PromptGrad: 0.0004 | Time: 122.49s
[Epoch 26] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.1851 | PromptVar: 0.0136 | PromptGrad: 0.0004 | Time: 122.76s
[Epoch 27] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.1816 | PromptVar: 0.0135 | PromptGrad: 0.0004 | Time: 128.44s
[Epoch 28] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.1783 | PromptVar: 0.0135 | PromptGrad: 0.0004 | Time: 131.73s
[Epoch 29] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.1752 | PromptVar: 0.0134 | PromptGrad: 0.0004 | Time: 138.87s
[Epoch 30] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.1721 | PromptVar: 0.0133 | PromptGrad: 0.0004 | Time: 133.07s
✅ Prompt model saved to: saved_models/stage2a_prompt_vitb16_11k_dorsal_r_vitb16_11k_dorsal_r_e30_lr1e-04_bs32_ctx8_freezeFalse.pth
